epoch: 0, KL loss: 8.00, Reconstruct loss: 0.09235535854020634
epoch: 1, KL loss: 8.00, Reconstruct loss: 0.029729503550910735
epoch: 2, KL loss: 8.00, Reconstruct loss: 0.020409378063705592
epoch: 3, KL loss: 8.00, Reconstruct loss: 0.016728358888612675
epoch: 4, KL loss: 8.00, Reconstruct loss: 0.01555527872811477
epoch: 5, KL loss: 8.00, Reconstruct loss: 0.014588766404100367
epoch: 6, KL loss: 8.00, Reconstruct loss: 0.014303445659421227
epoch: 7, KL loss: 8.00, Reconstruct loss: 0.013695127755828627
epoch: 8, KL loss: 8.00, Reconstruct loss: 0.013230830291146273
epoch: 9, KL loss: 8.00, Reconstruct loss: 0.012973299731050167
epoch: 10, KL loss: 8.00, Reconstruct loss: 0.012580330715746851
epoch: 11, KL loss: 8.00, Reconstruct loss: 0.012208915827376349
epoch: 12, KL loss: 8.00, Reconstruct loss: 0.011529080471857352
epoch: 13, KL loss: 8.00, Reconstruct loss: 0.010980536534755796
epoch: 14, KL loss: 8.00, Reconstruct loss: 0.01076757397178236
epoch: 15, KL loss: 8.00, Reconstruct loss: 0.010427028114149521
epoch: 16, KL loss: 8.00, Reconstruct loss: 0.010236896733912799
epoch: 17, KL loss: 8.00, Reconstruct loss: 0.009948668215569254
epoch: 18, KL loss: 8.00, Reconstruct loss: 0.009651567649890532
epoch: 19, KL loss: 8.00, Reconstruct loss: 0.009342120070983697
epoch: 20, KL loss: 8.00, Reconstruct loss: 0.008932547151550159
epoch: 21, KL loss: 8.00, Reconstruct loss: 0.008574533116844323
epoch: 22, KL loss: 8.00, Reconstruct loss: 0.008297235414094932
epoch: 23, KL loss: 8.00, Reconstruct loss: 0.008163576640815169
epoch: 24, KL loss: 8.00, Reconstruct loss: 0.007994863736043285
epoch: 25, KL loss: 8.00, Reconstruct loss: 0.007899073660149946
epoch: 26, KL loss: 8.00, Reconstruct loss: 0.007802513264421676
epoch: 27, KL loss: 8.00, Reconstruct loss: 0.0077258954244153995
epoch: 28, KL loss: 8.00, Reconstruct loss: 0.007662890792206243
epoch: 29, KL loss: 8.00, Reconstruct loss: 0.00757009867304662
epoch: 30, KL loss: 8.00, Reconstruct loss: 0.0076794747889668375
epoch: 31, KL loss: 8.00, Reconstruct loss: 0.007459033595247043
epoch: 32, KL loss: 8.00, Reconstruct loss: 0.0073833517022654635
epoch: 33, KL loss: 8.00, Reconstruct loss: 0.007308790419675835
epoch: 34, KL loss: 8.00, Reconstruct loss: 0.007239843609633746
epoch: 35, KL loss: 8.00, Reconstruct loss: 0.007153858446065818
epoch: 36, KL loss: 8.00, Reconstruct loss: 0.007072754823756558
epoch: 37, KL loss: 8.00, Reconstruct loss: 0.006996657612646843
epoch: 38, KL loss: 8.00, Reconstruct loss: 0.006906963883432093
epoch: 39, KL loss: 8.00, Reconstruct loss: 0.006850405467545485
epoch: 40, KL loss: 8.00, Reconstruct loss: 0.006776248608287927
epoch: 41, KL loss: 8.00, Reconstruct loss: 0.0066938228477295995
epoch: 42, KL loss: 8.00, Reconstruct loss: 0.0066345308057113635
epoch: 43, KL loss: 8.00, Reconstruct loss: 0.006631818700682472
epoch: 44, KL loss: 8.00, Reconstruct loss: 0.006542181488484502
epoch: 45, KL loss: 8.00, Reconstruct loss: 0.006501314722493783
epoch: 46, KL loss: 8.00, Reconstruct loss: 0.006433413784906223
epoch: 47, KL loss: 8.00, Reconstruct loss: 0.006392941736076419
epoch: 48, KL loss: 8.00, Reconstruct loss: 0.006329609339849817
epoch: 49, KL loss: 8.00, Reconstruct loss: 0.006224682848262894
