epoch: 0, KL loss: 8.00, Reconstruct loss: 0.1083845847227552
epoch: 1, KL loss: 8.00, Reconstruct loss: 0.0209862750706014
epoch: 2, KL loss: 8.00, Reconstruct loss: 0.01382219253314866
epoch: 3, KL loss: 8.00, Reconstruct loss: 0.011475366859084315
epoch: 4, KL loss: 8.00, Reconstruct loss: 0.010137493926304596
epoch: 5, KL loss: 8.00, Reconstruct loss: 0.009163190368786678
epoch: 6, KL loss: 8.00, Reconstruct loss: 0.00845550557783058
epoch: 7, KL loss: 8.00, Reconstruct loss: 0.007703730671501554
epoch: 8, KL loss: 8.00, Reconstruct loss: 0.0070996474259317635
epoch: 9, KL loss: 8.00, Reconstruct loss: 0.0066637093125767
epoch: 10, KL loss: 8.00, Reconstruct loss: 0.006372322332583838
epoch: 11, KL loss: 8.00, Reconstruct loss: 0.006056165400970806
epoch: 12, KL loss: 8.00, Reconstruct loss: 0.005653812871636213
epoch: 13, KL loss: 8.00, Reconstruct loss: 0.005441591936490826
epoch: 14, KL loss: 8.00, Reconstruct loss: 0.005043721552267
epoch: 15, KL loss: 8.00, Reconstruct loss: 0.004781327095699382
epoch: 16, KL loss: 8.00, Reconstruct loss: 0.00450444429645779
epoch: 17, KL loss: 8.00, Reconstruct loss: 0.004313745917668482
epoch: 18, KL loss: 8.00, Reconstruct loss: 0.004208304709545127
epoch: 19, KL loss: 8.00, Reconstruct loss: 0.003936914374699464
epoch: 20, KL loss: 8.00, Reconstruct loss: 0.0038660789012081092
epoch: 21, KL loss: 8.00, Reconstruct loss: 0.0037098767343550563
epoch: 22, KL loss: 8.00, Reconstruct loss: 0.0037963460325389294
epoch: 23, KL loss: 8.00, Reconstruct loss: 0.0035568635656243867
epoch: 24, KL loss: 8.00, Reconstruct loss: 0.003400748727742482
epoch: 25, KL loss: 8.00, Reconstruct loss: 0.003290090624623381
epoch: 26, KL loss: 8.00, Reconstruct loss: 0.003200086465038292
epoch: 27, KL loss: 8.00, Reconstruct loss: 0.0030823441868362664
epoch: 28, KL loss: 8.00, Reconstruct loss: 0.00296001584973891
epoch: 29, KL loss: 8.00, Reconstruct loss: 0.0028657341276661858
epoch: 30, KL loss: 8.00, Reconstruct loss: 0.0027425378671492094
epoch: 31, KL loss: 8.00, Reconstruct loss: 0.0026144188921059575
epoch: 32, KL loss: 8.00, Reconstruct loss: 0.0025385607103187895
epoch: 33, KL loss: 8.00, Reconstruct loss: 0.0024669149138212385
epoch: 34, KL loss: 8.00, Reconstruct loss: 0.0024140580478977333
epoch: 35, KL loss: 8.00, Reconstruct loss: 0.002363785786355647
epoch: 36, KL loss: 8.00, Reconstruct loss: 0.002322335937969364
epoch: 37, KL loss: 8.00, Reconstruct loss: 0.0023008521601512984
epoch: 38, KL loss: 8.00, Reconstruct loss: 0.002243270440650796
epoch: 39, KL loss: 8.00, Reconstruct loss: 0.0022384251811186427
epoch: 40, KL loss: 8.00, Reconstruct loss: 0.0021977834162293926
epoch: 41, KL loss: 8.00, Reconstruct loss: 0.0021618927340232978
epoch: 42, KL loss: 8.00, Reconstruct loss: 0.0021524564453957225
epoch: 43, KL loss: 8.00, Reconstruct loss: 0.0021055973702678093
epoch: 44, KL loss: 8.00, Reconstruct loss: 0.0020790940539368815
epoch: 45, KL loss: 8.00, Reconstruct loss: 0.002047444633613746
epoch: 46, KL loss: 8.00, Reconstruct loss: 0.0020537029402246613
epoch: 47, KL loss: 8.00, Reconstruct loss: 0.0019827990704593627
epoch: 48, KL loss: 8.00, Reconstruct loss: 0.0019408255104428611
epoch: 49, KL loss: 8.00, Reconstruct loss: 0.0018804057371206917
