epoch: 86, KL loss: 16.00, Reconstruct loss: 0.0003437124165322851
epoch: 87, KL loss: 16.00, Reconstruct loss: 0.00034373515175984185
epoch: 88, KL loss: 16.00, Reconstruct loss: 0.00034376816406352995
epoch: 89, KL loss: 16.00, Reconstruct loss: 0.00034375940209857244
epoch: 90, KL loss: 16.00, Reconstruct loss: 0.0003437652057447635
epoch: 91, KL loss: 16.00, Reconstruct loss: 0.0003437362577053992
epoch: 92, KL loss: 16.00, Reconstruct loss: 0.00034372285282348883
epoch: 93, KL loss: 16.00, Reconstruct loss: 0.0003437095386770499
epoch: 94, KL loss: 16.00, Reconstruct loss: 0.00034369554658256034
epoch: 95, KL loss: 16.00, Reconstruct loss: 0.000343715787440648
epoch: 96, KL loss: 16.00, Reconstruct loss: 0.00034370367853518794
epoch: 97, KL loss: 16.00, Reconstruct loss: 0.00034368494251633394
epoch: 98, KL loss: 16.00, Reconstruct loss: 0.00034368249950656555
epoch: 99, KL loss: 16.00, Reconstruct loss: 0.00034368041259072283
