Epoch: 0, Next KL: 1600.855353, Next Recon Loss: 0.041298, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 1, Next KL: 1600.000000, Next Recon Loss: 0.004794, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 2, Next KL: 1600.000000, Next Recon Loss: 0.001927, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 3, Next KL: 2348.424597, Next Recon Loss: 0.000930, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 4, Next KL: 4117.922571, Next Recon Loss: 0.000607, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 5, Next KL: 5211.193115, Next Recon Loss: 0.000483, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 6, Next KL: 6206.499365, Next Recon Loss: 0.000429, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 7, Next KL: 7028.099707, Next Recon Loss: 0.000402, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 8, Next KL: 7653.789355, Next Recon Loss: 0.000387, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 9, Next KL: 8058.721289, Next Recon Loss: 0.000377, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 10, Next KL: 8368.219775, Next Recon Loss: 0.000371, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 11, Next KL: 8643.603369, Next Recon Loss: 0.000366, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 12, Next KL: 8360.577954, Next Recon Loss: 0.000372, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
