Epoch: 0, TMR: 0.04076339577635129, TBR: 0.0, TMP: 0.04094291747444206, TBP: 0.0, VMR: 0.03846898600459099, VBR: 0.0, VMP: 0.0381770808249712, VBP: 0.0
Epoch: 1, TMR: 0.04078930914402008, TBR: 0.0, TMP: 0.04083610508177016, TBP: 0.0, VMR: 0.03840518407523632, VBR: 0.0, VMP: 0.038021113723516464, VBP: 0.0
Epoch: 2, TMR: 0.038765650283959174, TBR: 0.0, TMP: 0.03851962735255559, TBP: 0.0, VMR: 0.03821134082973003, VBR: 0.0, VMP: 0.03792832121253013, VBP: 0.0
Epoch: 3, TMR: 0.038790038393603433, TBR: 0.0, TMP: 0.03883312808142768, TBP: 0.0, VMR: 0.038055719435215, VBR: 0.0, VMP: 0.03786087334156037, VBP: 0.0
Epoch: 4, TMR: 0.038529290672805576, TBR: 0.0, TMP: 0.03825842663645744, TBP: 0.0, VMR: 0.03806513845920563, VBR: 0.0, VMP: 0.037759942933917046, VBP: 0.0
Epoch: 5, TMR: 0.03881095896164576, TBR: 0.0, TMP: 0.03859042657746209, TBP: 0.0, VMR: 0.0380149606615305, VBR: 0.0, VMP: 0.03781793490052223, VBP: 0.0
Epoch: 6, TMR: 0.03921991023752425, TBR: 0.0, TMP: 0.0393616881635454, TBP: 0.0, VMR: 0.038013120740652086, VBR: 0.0, VMP: 0.037718213722109796, VBP: 0.0
Epoch: 7, TMR: 0.03879833242131604, TBR: 0.0, TMP: 0.038751300755474304, TBP: 0.0, VMR: 0.03790353536605835, VBR: 0.0, VMP: 0.03763471506536007, VBP: 0.0
Epoch: 8, TMR: 0.03793813938068019, TBR: 0.0, TMP: 0.03790944814682007, TBP: 0.0, VMR: 0.037841552123427394, VBR: 0.0, VMP: 0.03771454393863678, VBP: 0.0
Epoch: 9, TMR: 0.03817411979867352, TBR: 0.0, TMP: 0.03797864860130681, TBP: 0.0, VMR: 0.0378212209790945, VBR: 0.0, VMP: 0.03758948929607868, VBP: 0.0
Epoch: 10, TMR: 0.0391471390095022, TBR: 0.0, TMP: 0.0392299582146936, TBP: 0.0, VMR: 0.03791065663099289, VBR: 0.0, VMP: 0.03759502172470093, VBP: 0.0
Epoch: 11, TMR: 0.03933473407394356, TBR: 0.0, TMP: 0.03929637368354533, TBP: 0.0, VMR: 0.03777294084429741, VBR: 0.0, VMP: 0.037591024115681645, VBP: 0.0
Epoch: 12, TMR: 0.03969019560350312, TBR: 0.0, TMP: 0.039500134231315716, TBP: 0.0, VMR: 0.03772482760250569, VBR: 0.0, VMP: 0.03752193301916122, VBP: 0.0
Epoch: 13, TMR: 0.037566182762384416, TBR: 0.0, TMP: 0.03751713422437509, TBP: 0.0, VMR: 0.037701402232050894, VBR: 0.0, VMP: 0.0375035610049963, VBP: 0.0
Epoch: 14, TMR: 0.03904827771087487, TBR: 0.0, TMP: 0.03906551541553603, TBP: 0.0, VMR: 0.037710534781217574, VBR: 0.0, VMP: 0.03751464411616325, VBP: 0.0
Epoch: 15, TMR: 0.038101908688743906, TBR: 0.0, TMP: 0.03808620373408, TBP: 0.0, VMR: 0.0376478124409914, VBR: 0.0, VMP: 0.037455976009368896, VBP: 0.0
Epoch: 16, TMR: 0.03848748165700171, TBR: 0.0, TMP: 0.03824765736030208, TBP: 0.0, VMR: 0.03745369426906109, VBR: 0.0, VMP: 0.0374871015548706, VBP: 0.0
Epoch: 17, TMR: 0.038304629094070855, TBR: 0.0, TMP: 0.03827253675295247, TBP: 0.0, VMR: 0.03751806020736694, VBR: 0.0, VMP: 0.03739709183573723, VBP: 0.0
Epoch: 18, TMR: 0.037762237961093584, TBR: 0.0, TMP: 0.03768272370927864, TBP: 0.0, VMR: 0.037374040111899376, VBR: 0.0, VMP: 0.03733002096414566, VBP: 0.0
Epoch: 19, TMR: 0.0384016568462054, TBR: 0.0, TMP: 0.0386232347951995, TBP: 0.0, VMR: 0.03732942417263985, VBR: 0.0, VMP: 0.03740097843110561, VBP: 0.0
Epoch: 20, TMR: 0.037304353382852345, TBR: 0.0, TMP: 0.03752522849374347, TBP: 0.0, VMR: 0.03722226917743683, VBR: 0.0, VMP: 0.03741866908967495, VBP: 0.0
Epoch: 21, TMR: 0.03755942992866039, TBR: 0.0, TMP: 0.037671049932638805, TBP: 0.0, VMR: 0.037406887859106064, VBR: 0.0, VMP: 0.037335256859660146, VBP: 0.0
Epoch: 22, TMR: 0.03797280117869377, TBR: 0.0, TMP: 0.03810336705711153, TBP: 0.0, VMR: 0.037225940823554994, VBR: 0.0, VMP: 0.03724631480872631, VBP: 0.0
Epoch: 23, TMR: 0.03777367547154427, TBR: 0.0, TMP: 0.03789511091179318, TBP: 0.0, VMR: 0.03734313063323498, VBR: 0.0, VMP: 0.03729253597557545, VBP: 0.0
