loss: -0.6918, minimizing loss: 49.3328, maximizing loss: 50.0246
loss: -0.3022, minimizing loss: 49.8228, maximizing loss: 50.1250
loss: -0.8208, minimizing loss: 49.7118, maximizing loss: 50.5325
loss: -0.6813, minimizing loss: 50.2794, maximizing loss: 50.9607
loss: -0.2627, minimizing loss: 50.9024, maximizing loss: 51.1651
loss: -0.2261, minimizing loss: 51.6317, maximizing loss: 51.8578
loss: 0.6433, minimizing loss: 52.7134, maximizing loss: 52.0701
loss: -0.5241, minimizing loss: 52.2954, maximizing loss: 52.8195
loss: -0.6016, minimizing loss: 52.6642, maximizing loss: 53.2658
loss: 0.8110, minimizing loss: 53.5779, maximizing loss: 52.7669
loss: -0.8610, minimizing loss: 53.0101, maximizing loss: 53.8711
loss: -0.5543, minimizing loss: 53.4135, maximizing loss: 53.9678
loss: -0.2072, minimizing loss: 54.1241, maximizing loss: 54.3314
loss: -0.7614, minimizing loss: 54.1397, maximizing loss: 54.9012
loss: -0.4762, minimizing loss: 54.8627, maximizing loss: 55.3389
loss: -0.2595, minimizing loss: 55.5613, maximizing loss: 55.8208
loss: -0.5689, minimizing loss: 55.8779, maximizing loss: 56.4469
loss: -0.5828, minimizing loss: 56.5098, maximizing loss: 57.0926
loss: -0.4858, minimizing loss: 57.2241, maximizing loss: 57.7099
loss: -0.3063, minimizing loss: 58.0051, maximizing loss: 58.3114
loss: -0.5891, minimizing loss: 58.5952, maximizing loss: 59.1843
loss: -0.5618, minimizing loss: 59.3548, maximizing loss: 59.9166
loss: -0.5375, minimizing loss: 60.4237, maximizing loss: 60.9613
loss: -0.3982, minimizing loss: 61.5930, maximizing loss: 61.9912
loss: -0.4184, minimizing loss: 62.4001, maximizing loss: 62.8185
loss: -0.6185, minimizing loss: 62.5739, maximizing loss: 63.1924
loss: -0.7266, minimizing loss: 63.2418, maximizing loss: 63.9684
loss: -0.5196, minimizing loss: 64.4428, maximizing loss: 64.9624
loss: -0.8066, minimizing loss: 65.3671, maximizing loss: 66.1737
loss: -1.2007, minimizing loss: 66.5160, maximizing loss: 67.7167
loss: 0.3227, minimizing loss: 69.4467, maximizing loss: 69.1240
loss: -2.0559, minimizing loss: 69.5698, maximizing loss: 71.6256
loss: -1.7481, minimizing loss: 72.1001, maximizing loss: 73.8482
loss: 0.1711, minimizing loss: 76.4105, maximizing loss: 76.2393
loss: 0.0622, minimizing loss: 79.3026, maximizing loss: 79.2403
loss: -2.4542, minimizing loss: 80.5006, maximizing loss: 82.9548
loss: 0.3524, minimizing loss: 85.3934, maximizing loss: 85.0410
loss: -2.3458, minimizing loss: 87.2044, maximizing loss: 89.5502
loss: 0.9120, minimizing loss: 92.6619, maximizing loss: 91.7500
loss: -1.1508, minimizing loss: 94.1872, maximizing loss: 95.3381
loss: -4.2984, minimizing loss: 95.7064, maximizing loss: 100.0048
loss: -2.2192, minimizing loss: 102.0913, maximizing loss: 104.3105
loss: -1.8231, minimizing loss: 108.7812, maximizing loss: 110.6043
loss: -1.7642, minimizing loss: 116.8242, maximizing loss: 118.5885
loss: -3.3662, minimizing loss: 125.2579, maximizing loss: 128.6242
loss: -8.0029, minimizing loss: 134.0890, maximizing loss: 142.0919
loss: 0.9291, minimizing loss: 155.0110, maximizing loss: 154.0819
loss: -5.1026, minimizing loss: 168.4954, maximizing loss: 173.5981
