bad one, it was lambda 0.5
loss: 0.5884, minimizing loss: 1.1850, maximizing loss: 1.1932
loss: 0.5737, minimizing loss: 1.1547, maximizing loss: 1.1621
loss: 0.4647, minimizing loss: 0.9374, maximizing loss: 0.9453
loss: 0.5025, minimizing loss: 1.0145, maximizing loss: 1.0240
loss: 0.4246, minimizing loss: 0.8556, maximizing loss: 0.8620
loss: 0.4793, minimizing loss: 0.9652, maximizing loss: 0.9718
loss: 0.4870, minimizing loss: 0.9813, maximizing loss: 0.9886
loss: 0.4685, minimizing loss: 0.9460, maximizing loss: 0.9549
loss: 0.5295, minimizing loss: 1.0684, maximizing loss: 1.0778
loss: 0.4337, minimizing loss: 0.8741, maximizing loss: 0.8806
loss: 0.4890, minimizing loss: 0.9865, maximizing loss: 0.9950
loss: 0.4668, minimizing loss: 0.9429, maximizing loss: 0.9522
loss: 0.5371, minimizing loss: 1.0798, maximizing loss: 1.0854
loss: 0.5108, minimizing loss: 1.0322, maximizing loss: 1.0429
loss: 0.5685, minimizing loss: 1.1435, maximizing loss: 1.1501
loss: 0.5538, minimizing loss: 1.1151, maximizing loss: 1.1226
loss: 0.5277, minimizing loss: 1.0661, maximizing loss: 1.0768
loss: 0.5372, minimizing loss: 1.0801, maximizing loss: 1.0860
loss: 0.4710, minimizing loss: 0.9494, maximizing loss: 0.9567
loss: 0.4922, minimizing loss: 0.9904, maximizing loss: 0.9964
loss: 0.4836, minimizing loss: 0.9774, maximizing loss: 0.9875
loss: 0.4490, minimizing loss: 0.9071, maximizing loss: 0.9162
loss: 0.4515, minimizing loss: 0.9125, maximizing loss: 0.9220
loss: 0.5104, minimizing loss: 1.0302, maximizing loss: 1.0395
loss: 0.5532, minimizing loss: 1.1162, maximizing loss: 1.1261
loss: 0.4515, minimizing loss: 0.9104, maximizing loss: 0.9180
loss: 0.4472, minimizing loss: 0.9044, maximizing loss: 0.9145
loss: 0.5344, minimizing loss: 1.0754, maximizing loss: 1.0822
loss: 0.5053, minimizing loss: 1.0193, maximizing loss: 1.0280
loss: 0.4129, minimizing loss: 0.8355, maximizing loss: 0.8452
loss: 0.5566, minimizing loss: 1.1216, maximizing loss: 1.1300
loss: 0.4474, minimizing loss: 0.9022, maximizing loss: 0.9095
loss: 0.4593, minimizing loss: 0.9244, maximizing loss: 0.9303
loss: 0.6067, minimizing loss: 1.2224, maximizing loss: 1.2313
loss: 0.5723, minimizing loss: 1.1546, maximizing loss: 1.1645
loss: 0.4418, minimizing loss: 0.8908, maximizing loss: 0.8981
loss: 0.5303, minimizing loss: 1.0693, maximizing loss: 1.0781
loss: 0.4435, minimizing loss: 0.8954, maximizing loss: 0.9038
loss: 0.4459, minimizing loss: 0.9061, maximizing loss: 0.9204
loss: 0.5711, minimizing loss: 1.1548, maximizing loss: 1.1673
loss: 0.5030, minimizing loss: 1.0158, maximizing loss: 1.0257
loss: 0.4822, minimizing loss: 0.9744, maximizing loss: 0.9844
loss: 0.5404, minimizing loss: 1.0873, maximizing loss: 1.0938
loss: 0.5284, minimizing loss: 1.0645, maximizing loss: 1.0722
loss: 0.4471, minimizing loss: 0.9022, maximizing loss: 0.9101
loss: 0.4560, minimizing loss: 0.9201, maximizing loss: 0.9282
loss: 0.5248, minimizing loss: 1.0551, maximizing loss: 1.0606
loss: 0.4303, minimizing loss: 0.8667, maximizing loss: 0.8727
