Epoch: 0, Next KL: 16.871110, Next Recon Loss: 0.048518, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 1, Next KL: 16.000000, Next Recon Loss: 0.005541, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 2, Next KL: 16.000000, Next Recon Loss: 0.002398, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 3, Next KL: 16.242473, Next Recon Loss: 0.001159, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 4, Next KL: 21.365164, Next Recon Loss: 0.000796, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 5, Next KL: 27.575229, Next Recon Loss: 0.000599, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 6, Next KL: 37.362568, Next Recon Loss: 0.000500, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 7, Next KL: 54.329506, Next Recon Loss: 0.000448, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 8, Next KL: 71.306577, Next Recon Loss: 0.000420, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 9, Next KL: 78.982507, Next Recon Loss: 0.000401, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 10, Next KL: 83.356849, Next Recon Loss: 0.000393, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 11, Next KL: 78.642788, Next Recon Loss: 0.000382, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 12, Next KL: 84.982743, Next Recon Loss: 0.000370, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 13, Next KL: 94.530105, Next Recon Loss: 0.000363, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 14, Next KL: 97.214845, Next Recon Loss: 0.000378, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 15, Next KL: 93.374062, Next Recon Loss: 0.000358, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 16, Next KL: 98.132433, Next Recon Loss: 0.000352, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 17, Next KL: 105.532084, Next Recon Loss: 0.000350, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 18, Next KL: 112.545366, Next Recon Loss: 0.000348, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 19, Next KL: 118.873773, Next Recon Loss: 0.000346, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 20, Next KL: 125.841916, Next Recon Loss: 0.000345, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 21, Next KL: 129.121094, Next Recon Loss: 0.000344, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 22, Next KL: 124.252748, Next Recon Loss: 0.000364, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
Epoch: 23, Next KL: 116.956598, Next Recon Loss: 0.000343, Pred Loss: 0.000000, Pred Recon Loss: 0.000000, MDN Loss: 0.000000
