epoch: 67, loss: -63945472.0000, minimizing loss: 2959982848.0000, maximizing loss: 3023928320.0000
epoch: 68, loss: -68824320.0000, minimizing loss: 3185841152.0000, maximizing loss: 3254665472.0000
epoch: 69, loss: -73987072.0000, minimizing loss: 3424886784.0000, maximizing loss: 3498873856.0000
epoch: 70, loss: -79448832.0000, minimizing loss: 3677663488.0000, maximizing loss: 3757112320.0000
epoch: 71, loss: -85218816.0000, minimizing loss: 3944730624.0000, maximizing loss: 4029949440.0000
epoch: 72, loss: -91308032.0000, minimizing loss: 4226665472.0000, maximizing loss: 4317973504.0000
epoch: 73, loss: -97732608.0000, minimizing loss: 4524051968.0000, maximizing loss: 4621784576.0000
epoch: 74, loss: -104503808.0000, minimizing loss: 4837495808.0000, maximizing loss: 4941999616.0000
epoch: 75, loss: -111634944.0000, minimizing loss: 5167616512.0000, maximizing loss: 5279251456.0000
epoch: 76, loss: -119140352.0000, minimizing loss: 5515045888.0000, maximizing loss: 5634186240.0000
epoch: 77, loss: -127033856.0000, minimizing loss: 5880435200.0000, maximizing loss: 6007469056.0000
epoch: 78, loss: -135327744.0000, minimizing loss: 6264448512.0000, maximizing loss: 6399776256.0000
epoch: 79, loss: -144040448.0000, minimizing loss: 6667769344.0000, maximizing loss: 6811809792.0000
epoch: 80, loss: -153185792.0000, minimizing loss: 7091089920.0000, maximizing loss: 7244275712.0000
epoch: 81, loss: -162776576.0000, minimizing loss: 7535128064.0000, maximizing loss: 7697904640.0000
epoch: 82, loss: -172832256.0000, minimizing loss: 8000609280.0000, maximizing loss: 8173441536.0000
epoch: 83, loss: -183367168.0000, minimizing loss: 8488277504.0000, maximizing loss: 8671644672.0000
epoch: 84, loss: -194396160.0000, minimizing loss: 8998903808.0000, maximizing loss: 9193299968.0000
epoch: 85, loss: -205937664.0000, minimizing loss: 9533261824.0000, maximizing loss: 9739199488.0000
epoch: 86, loss: -218011648.0000, minimizing loss: 10092148736.0000, maximizing loss: 10310160384.0000
epoch: 87, loss: -230632448.0000, minimizing loss: 10676382720.0000, maximizing loss: 10907015168.0000
epoch: 88, loss: -243821568.0000, minimizing loss: 11286792192.0000, maximizing loss: 11530613760.0000
epoch: 89, loss: -257591296.0000, minimizing loss: 11924237312.0000, maximizing loss: 12181828608.0000
epoch: 90, loss: -271963136.0000, minimizing loss: 12589576192.0000, maximizing loss: 12861539328.0000
epoch: 91, loss: -286956544.0000, minimizing loss: 13283690496.0000, maximizing loss: 13570647040.0000
epoch: 92, loss: -302590976.0000, minimizing loss: 14007500800.0000, maximizing loss: 14310091776.0000
epoch: 93, loss: -318884864.0000, minimizing loss: 14761921536.0000, maximizing loss: 15080806400.0000
epoch: 94, loss: -335867904.0000, minimizing loss: 15547897856.0000, maximizing loss: 15883765760.0000
epoch: 95, loss: -353549312.0000, minimizing loss: 16366391296.0000, maximizing loss: 16719940608.0000
epoch: 96, loss: -371951616.0000, minimizing loss: 17218387968.0000, maximizing loss: 17590339584.0000
epoch: 97, loss: -391102464.0000, minimizing loss: 18104883200.0000, maximizing loss: 18495985664.0000
epoch: 98, loss: -411021312.0000, minimizing loss: 19026903040.0000, maximizing loss: 19437924352.0000
epoch: 99, loss: -431724544.0000, minimizing loss: 19985479680.0000, maximizing loss: 20417204224.0000
