2150 42
8 100 21
12 100 62
81 100 50
5 100 72
42 100 94
6 100 6
13 100 82
16 100 7
31 100 6
36 100 41
37 100 75
54 100 47
63 100 80
41 100 53
35 100 4
40 100 58
10 100 96
30 100 43
24 100 79
38 100 12
50 100 31
47 100 63
58 100 6
80 100 66
84 100 81
75 100 83
89 100 60
70 100 23
78 100 87
9 100 30
48 100 90
85 100 67
77 100 44
66 100 95
72 100 26
94 100 97
23 100 9
86 100 69
99 100 10
61 100 84
69 100 34
98 100 7
