E 80, N_steps 25920, FPS 3328 mean/median -21.0/-21.0, min/max -21.0/-21.0 Entropy 0.86012,V 0.02230,Action 0.07312
E 90, N_steps 29120, FPS 3319 mean/median -21.0/-21.0, min/max -21.0/-21.0 Entropy 0.92552,V 0.01882,Action 0.03197
E 100, N_steps 32320, FPS 3305 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 0.89546,V 0.03543,Action 0.05542
E 110, N_steps 35520, FPS 1523 mean/median -20.0/-20.0, min/max -21.0/-19.0 Entropy 0.90580,V 0.01272,Action 0.00831
E 120, N_steps 38720, FPS 1593 mean/median -19.5/-19.0, min/max -21.0/-18.0 Entropy 0.93356,V 0.01777,Action -0.02062
E 130, N_steps 41920, FPS 1658 mean/median -19.4/-19.0, min/max -21.0/-18.0 Entropy 0.92154,V 0.01024,Action -0.00075
E 140, N_steps 45120, FPS 1718 mean/median -19.3/-19.0, min/max -21.0/-18.0 Entropy 0.81675,V 0.01677,Action 0.01953
E 150, N_steps 48320, FPS 1775 mean/median -19.3/-19.0, min/max -21.0/-18.0 Entropy 0.80467,V 0.06294,Action -0.03920
E 160, N_steps 51520, FPS 1827 mean/median -19.3/-19.0, min/max -21.0/-18.0 Entropy 0.90230,V 0.02831,Action 0.03825
E 170, N_steps 54720, FPS 1875 mean/median -19.3/-19.0, min/max -21.0/-18.0 Entropy 0.90590,V 0.03168,Action 0.00372
E 180, N_steps 57920, FPS 1920 mean/median -19.3/-19.0, min/max -21.0/-18.0 Entropy 0.89395,V 0.01863,Action -0.04107
E 190, N_steps 61120, FPS 1964 mean/median -19.4/-19.0, min/max -21.0/-18.0 Entropy 0.95452,V 0.01637,Action 0.00212
E 200, N_steps 64320, FPS 2005 mean/median -19.3/-19.0, min/max -21.0/-18.0 Entropy 0.91235,V 0.03039,Action -0.04289
E 210, N_steps 67520, FPS 1438 mean/median -19.7/-20.5, min/max -21.0/-18.0 Entropy 0.89886,V 0.01235,Action -0.00589
E 220, N_steps 70720, FPS 1476 mean/median -20.3/-21.0, min/max -21.0/-18.0 Entropy 0.93670,V 0.02159,Action 0.05239
E 230, N_steps 73920, FPS 1511 mean/median -19.7/-19.5, min/max -21.0/-18.0 Entropy 0.85970,V 0.02931,Action -0.03407
E 240, N_steps 77120, FPS 1545 mean/median -19.4/-19.0, min/max -21.0/-18.0 Entropy 0.90983,V 0.00995,Action 0.03018
E 250, N_steps 80320, FPS 1578 mean/median -19.1/-19.0, min/max -21.0/-17.0 Entropy 0.83645,V 0.03091,Action 0.03941
E 260, N_steps 83520, FPS 1610 mean/median -18.9/-19.0, min/max -21.0/-17.0 Entropy 0.83969,V 0.01652,Action 0.08815
E 270, N_steps 86720, FPS 1640 mean/median -18.4/-18.0, min/max -21.0/-17.0 Entropy 0.80870,V 0.01015,Action 0.07494
E 280, N_steps 89920, FPS 1670 mean/median -18.4/-18.0, min/max -21.0/-17.0 Entropy 0.81570,V 0.01421,Action -0.00737
E 290, N_steps 93120, FPS 1698 mean/median -18.6/-18.5, min/max -21.0/-17.0 Entropy 0.82813,V 0.01875,Action 0.04916
E 300, N_steps 96320, FPS 1726 mean/median -18.6/-18.5, min/max -21.0/-17.0 Entropy 0.83697,V 0.02376,Action 0.03910
E 310, N_steps 99520, FPS 1411 mean/median -18.6/-18.5, min/max -21.0/-17.0 Entropy 0.78363,V 0.01357,Action 0.03082
E 320, N_steps 102720, FPS 1436 mean/median -18.2/-18.0, min/max -21.0/-15.0 Entropy 0.85683,V 0.00828,Action 0.03469
E 330, N_steps 105920, FPS 1461 mean/median -18.2/-18.0, min/max -21.0/-15.0 Entropy 0.85594,V 0.01396,Action -0.03402
E 340, N_steps 109120, FPS 1485 mean/median -18.1/-18.0, min/max -21.0/-15.0 Entropy 0.78202,V 0.02390,Action 0.00597
E 350, N_steps 112320, FPS 1509 mean/median -18.1/-18.0, min/max -21.0/-15.0 Entropy 0.73035,V 0.01586,Action 0.02334
E 360, N_steps 115520, FPS 1532 mean/median -18.1/-18.0, min/max -21.0/-15.0 Entropy 0.81344,V 0.00989,Action 0.02703
E 370, N_steps 118720, FPS 1554 mean/median -18.7/-18.0, min/max -21.0/-17.0 Entropy 0.75580,V 0.01522,Action -0.03625
E 380, N_steps 121920, FPS 1575 mean/median -18.8/-18.5, min/max -21.0/-18.0 Entropy 0.71185,V 0.01961,Action 0.01077
E 390, N_steps 125120, FPS 1597 mean/median -19.1/-19.0, min/max -21.0/-18.0 Entropy 0.77562,V 0.00872,Action -0.03674
E 400, N_steps 128320, FPS 1617 mean/median -19.0/-19.0, min/max -21.0/-18.0 Entropy 0.80470,V 0.04455,Action 0.03267
