E 540, N_steps 54100, FPS 943 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.94584,V 0.00167,Action 0.02290
E 550, N_steps 55100, FPS 949 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.91154,V 0.01610,Action 0.01280
E 560, N_steps 56100, FPS 955 mean/median -20.5/-21.0, min/max -21.0/-19.0 Entropy 0.95087,V 0.00268,Action -0.00428
E 570, N_steps 57100, FPS 961 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 0.91332,V 0.03817,Action -0.04609
E 580, N_steps 58100, FPS 966 mean/median -20.5/-20.5, min/max -21.0/-20.0 Entropy 0.96790,V 0.01159,Action 0.04901
E 590, N_steps 59100, FPS 971 mean/median -20.4/-20.5, min/max -21.0/-19.0 Entropy 0.97757,V 0.00592,Action 0.00586
E 600, N_steps 60100, FPS 976 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.94675,V 0.00487,Action 0.06401
E 610, N_steps 61100, FPS 924 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.97483,V 0.00453,Action 0.08121
E 620, N_steps 62100, FPS 929 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.90644,V 0.00316,Action -0.01805
E 630, N_steps 63100, FPS 934 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.98033,V 0.01410,Action -0.00270
E 640, N_steps 64100, FPS 939 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.92516,V 0.01168,Action 0.08035
E 650, N_steps 65100, FPS 944 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.91698,V 0.00712,Action 0.07452
E 660, N_steps 66100, FPS 949 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.97253,V 0.02097,Action -0.07562
E 670, N_steps 67100, FPS 953 mean/median -20.1/-20.0, min/max -21.0/-19.0 Entropy 0.92835,V 0.01622,Action -0.00754
E 680, N_steps 68100, FPS 958 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.95077,V 0.01668,Action -0.01536
E 690, N_steps 69100, FPS 963 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.85286,V 0.00200,Action -0.03107
E 700, N_steps 70100, FPS 967 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.86851,V 0.01517,Action -0.11897
E 710, N_steps 71100, FPS 921 mean/median -20.2/-20.0, min/max -21.0/-18.0 Entropy 0.94482,V 0.06352,Action -0.04212
E 720, N_steps 72100, FPS 926 mean/median -20.2/-20.0, min/max -21.0/-18.0 Entropy 0.96857,V 0.00221,Action 0.02689
E 730, N_steps 73100, FPS 930 mean/median -20.2/-20.0, min/max -21.0/-18.0 Entropy 0.98127,V 0.00287,Action 0.02963
E 740, N_steps 74100, FPS 935 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.89058,V 0.00437,Action 0.05544
E 750, N_steps 75100, FPS 939 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.93530,V 0.00106,Action 0.01381
E 760, N_steps 76100, FPS 943 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.78474,V 0.01785,Action -0.04573
E 770, N_steps 77100, FPS 947 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.85551,V 0.01080,Action 0.02725
E 780, N_steps 78100, FPS 951 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.87129,V 0.00945,Action 0.00356
E 790, N_steps 79100, FPS 955 mean/median -20.1/-20.0, min/max -21.0/-18.0 Entropy 0.89010,V 0.00837,Action -0.01647
E 800, N_steps 80100, FPS 959 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.91552,V 0.01876,Action 0.01838
E 810, N_steps 81100, FPS 922 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.95992,V 0.00278,Action 0.00901
E 820, N_steps 82100, FPS 926 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.88320,V 0.00536,Action 0.09260
E 830, N_steps 83100, FPS 929 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.83285,V 0.03057,Action -0.08931
E 840, N_steps 84100, FPS 933 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.71916,V 0.00630,Action 0.08412
E 850, N_steps 85100, FPS 937 mean/median -19.9/-20.0, min/max -21.0/-18.0 Entropy 0.89855,V 0.00426,Action 0.07749
E 860, N_steps 86100, FPS 940 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.90561,V 0.05100,Action -0.03657
E 870, N_steps 87100, FPS 944 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.90622,V 0.00500,Action 0.10841
E 880, N_steps 88100, FPS 948 mean/median -20.0/-20.0, min/max -21.0/-18.0 Entropy 0.97380,V 0.00252,Action 0.00486
E 890, N_steps 89100, FPS 951 mean/median -20.3/-20.0, min/max -21.0/-19.0 Entropy 0.94052,V 0.00111,Action -0.00910
E 900, N_steps 90100, FPS 955 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.86407,V 0.03772,Action -0.15518
