E 550, N_steps 55100, FPS 932 mean/median -20.2/-20.0, min/max -21.0/-19.0 Entropy 0.97619,V 0.00654,Action 0.01953
E 560, N_steps 56100, FPS 937 mean/median -19.8/-20.0, min/max -21.0/-18.0 Entropy 0.98395,V 0.00363,Action -0.02007
E 570, N_steps 57100, FPS 943 mean/median -19.6/-19.5, min/max -21.0/-18.0 Entropy 0.91569,V 0.00289,Action 0.04694
E 580, N_steps 58100, FPS 948 mean/median -19.6/-19.5, min/max -21.0/-18.0 Entropy 0.99729,V 0.02367,Action -0.12937
E 590, N_steps 59100, FPS 954 mean/median -19.6/-19.5, min/max -21.0/-18.0 Entropy 0.94274,V 0.02988,Action 0.06076
E 600, N_steps 60100, FPS 959 mean/median -19.6/-19.5, min/max -21.0/-18.0 Entropy 1.01273,V 0.00215,Action 0.03546
E 610, N_steps 61100, FPS 902 mean/median -19.6/-20.0, min/max -21.0/-18.0 Entropy 1.01568,V 0.00411,Action -0.03559
E 620, N_steps 62100, FPS 907 mean/median -19.6/-20.0, min/max -21.0/-18.0 Entropy 0.96605,V 0.00341,Action 0.01976
E 630, N_steps 63100, FPS 913 mean/median -19.6/-20.0, min/max -21.0/-18.0 Entropy 1.01051,V 0.00243,Action 0.06919
E 640, N_steps 64100, FPS 918 mean/median -19.6/-20.0, min/max -21.0/-18.0 Entropy 0.91843,V 0.03298,Action 0.22316
E 650, N_steps 65100, FPS 923 mean/median -19.8/-20.0, min/max -21.0/-17.0 Entropy 0.99328,V 0.00887,Action 0.07341
E 660, N_steps 66100, FPS 927 mean/median -19.9/-20.0, min/max -21.0/-17.0 Entropy 0.91819,V 0.00887,Action -0.01507
E 670, N_steps 67100, FPS 932 mean/median -20.1/-20.0, min/max -21.0/-17.0 Entropy 0.85019,V 0.00287,Action -0.05331
