Time 00h 00m 02s, num steps 13738, FPS 5736, episode reward -20.0, episode length 1390
Time 00h 00m 09s, num steps 58395, FPS 6301, episode reward -21.0, episode length 1270
Time 00h 00m 15s, num steps 101620, FPS 6392, episode reward -21.0, episode length 1114
Time 00h 00m 23s, num steps 147683, FPS 6420, episode reward -19.0, episode length 1432
Time 00h 00m 30s, num steps 193704, FPS 6402, episode reward -19.0, episode length 1522
Time 00h 00m 37s, num steps 239318, FPS 6416, episode reward -21.0, episode length 1102
Time 00h 00m 44s, num steps 287761, FPS 6415, episode reward -20.0, episode length 1316
Time 00h 00m 51s, num steps 331551, FPS 6420, episode reward -21.0, episode length 1169
Time 00h 00m 58s, num steps 377108, FPS 6427, episode reward -20.0, episode length 1400
