     11  12  13  14  15  16  17  18  19|  21  22  23  24  25  26  27  28  29|  31  32  33  34  35  36  37  38  39|  41  42  43  44  45  46  47  48  49|  51  52  53  54  55  56  57  58  59|  61  62  63  64  65  66  67  68  69|  71  72  73  74  75  76  77  78  79|  81  82  83  84  85  86  87  88  89|  91  92  93  94  95  96  97  98  99|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
1:    3   0   0   1  51  10   1 135 135|   0 846   0   0   0   0   2   0   0|   1   0   0   0 461   0   1  51  51|   0   1   0   0   1   0 282   1   1| 796   0   0 151   0   0   0   0   0|   0   0   0 661   0   0  91   0   0|   0   0 413   0   0 677   0   0   0|   0   0   0   0   1   1 282   1   1|   0   0 547   0   0   0 106   0   0|
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2:    0   0 999   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0| 999   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
2:    0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0 999   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|   0   0   0   0   0   0   0   0   0|
