0	160690	4228
1	138918	7509
2	125979	10498
3	118797	13576
4	113329	16666
5	108984	19815
6	106437	23283
7	102582	26472
8	99191	29757
9	95666	32988
10	92237	36236
11	88822	39476
12	85579	42789
13	82252	46061
14	79082	49426
15	75905	52804
16	72693	56172
17	69401	59487
18	66127	62821
19	62978	66292
20	59720	69674
21	56431	73028
22	53142	76392
23	49872	79795
24	46626	83262
25	43367	86734
26	40063	90142
27	36774	93607
28	33461	97038
29	30158	100527
30	26828	103962
31	23493	107400
32	20174	110960
33	16829	114438
34	13479	117947
35	10126	121520
36	6757	125008
37	3380	128474
38	0	131947
