Epoch: 86, train ls: 0.010570753831416368, eval ls: 0.026389082645376524
Epoch: 87, train ls: 0.010741431576510271, eval ls: 0.026336175327499708
Epoch: 88, train ls: 0.010705335841824612, eval ls: 0.026394700010617573
Epoch: 89, train ls: 0.010745467276622851, eval ls: 0.026529841497540473
Epoch: 90, train ls: 0.010426529357209802, eval ls: 0.02656749002635479
Epoch: 91, train ls: 0.010390584279472629, eval ls: 0.026520983750621476
Epoch: 92, train ls: 0.010815880602846543, eval ls: 0.026610082884629568
Epoch: 93, train ls: 0.010124448407441377, eval ls: 0.026563989743590356
Epoch: 94, train ls: 0.009982454869896174, eval ls: 0.02657149322330952
Epoch: 95, train ls: 0.010250051878392697, eval ls: 0.026570489009221394
Epoch: 96, train ls: 0.010126229748129845, eval ls: 0.026611981292565662
Epoch: 97, train ls: 0.010006709148486455, eval ls: 0.02657942324876785
Epoch: 98, train ls: 0.009722201945260167, eval ls: 0.026456960787375767
Epoch: 99, train ls: 0.009861084120348095, eval ls: 0.026544310773412388
Epoch: 100, train ls: 0.009791210588688651, eval ls: 0.026499320194125174
Epoch: 101, train ls: 0.009801738988608122, eval ls: 0.02651299014687538
Epoch: 102, train ls: 0.009524114802479744, eval ls: 0.0264665637165308
Epoch: 103, train ls: 0.009793589621161421, eval ls: 0.026491608967383704
Epoch: 104, train ls: 0.009633165830746294, eval ls: 0.026588530217607816
Epoch: 105, train ls: 0.009354685246944428, eval ls: 0.026574449613690376
Epoch: 106, train ls: 0.009320480873187383, eval ls: 0.026390472302834193
Epoch: 107, train ls: 0.009607712800304095, eval ls: 0.026580252250035605
Epoch: 108, train ls: 0.009358798650403817, eval ls: 0.02651554122567177
Epoch: 109, train ls: 0.009480896048868696, eval ls: 0.026327749714255333
Epoch: 110, train ls: 0.009432462928816675, eval ls: 0.02649449979265531
Epoch: 111, train ls: 0.00960882728298505, eval ls: 0.026499688749512036
Epoch: 112, train ls: 0.009483795644094547, eval ls: 0.026610412076115607
Epoch: 113, train ls: 0.009503044995168845, eval ls: 0.02647258204718431
Epoch: 114, train ls: 0.008999415161088108, eval ls: 0.02665854034324487
Epoch: 115, train ls: 0.009199072793126106, eval ls: 0.026443548252185187
Epoch: 116, train ls: 0.008874791425963242, eval ls: 0.02654619763294856
Epoch: 117, train ls: 0.008929017030944427, eval ls: 0.02651135077079137
Epoch: 118, train ls: 0.009112083415190379, eval ls: 0.026620582863688468
Epoch: 119, train ls: 0.008710867539048196, eval ls: 0.026510285710295043
Epoch: 120, train ls: 0.00890160263516009, eval ls: 0.026595137392481167
Epoch: 121, train ls: 0.008820985925073426, eval ls: 0.02654204877714316
Epoch: 122, train ls: 0.008536724823837478, eval ls: 0.026542336369554203
Epoch: 123, train ls: 0.008605653885751963, eval ls: 0.026607644682129224
Epoch: 124, train ls: 0.008507576957345008, eval ls: 0.026515984162688255
Epoch: 125, train ls: 0.008294123644009232, eval ls: 0.02653622378905614
Epoch: 126, train ls: 0.008461941576873263, eval ls: 0.026532182097435
Epoch: 127, train ls: 0.008271585234130423, eval ls: 0.026515583445628484
Epoch: 128, train ls: 0.008341927438353498, eval ls: 0.02648864376048247
Epoch: 129, train ls: 0.008401576755568385, eval ls: 0.026660525674621263
Epoch: 130, train ls: 0.008270946998770038, eval ls: 0.026542738452553748
Epoch: 131, train ls: 0.008350757866476972, eval ls: 0.026563521722952524
Epoch: 132, train ls: 0.008259073691442608, eval ls: 0.026548252378900846
Epoch: 133, train ls: 0.008525080994392436, eval ls: 0.0267879668623209
Epoch: 134, train ls: 0.008597413264214992, eval ls: 0.026762705792983375
Epoch: 135, train ls: 0.008078252819056312, eval ls: 0.02672618937989076
Epoch: 136, train ls: 0.008091201664259036, eval ls: 0.026704568167527518
Epoch: 137, train ls: 0.008417743211612105, eval ls: 0.026919066533446313
Epoch: 138, train ls: 0.00777501353683571, eval ls: 0.026750718926390013
Epoch: 139, train ls: 0.00810456145554781, eval ls: 0.02675519821544488
Epoch: 140, train ls: 0.0079144479551663, eval ls: 0.026655845964948337
Epoch: 141, train ls: 0.007963317027315498, eval ls: 0.02676032657424609
Epoch: 142, train ls: 0.007946674417083462, eval ls: 0.026765263577302297
Epoch: 143, train ls: 0.007829369806374113, eval ls: 0.02680338956415653
Epoch: 144, train ls: 0.007775020971894264, eval ls: 0.026735596358776093
Epoch: 145, train ls: 0.007948932222401102, eval ls: 0.026773521676659584
Epoch: 146, train ls: 0.0076532150308291115, eval ls: 0.026741196836034455
Epoch: 147, train ls: 0.00808197680550317, eval ls: 0.02677339700361093
Epoch: 148, train ls: 0.007798879034817218, eval ls: 0.026835792139172553
Epoch: 149, train ls: 0.007773284583042065, eval ls: 0.026764540498455367
Epoch: 150, train ls: 0.007466297379384438, eval ls: 0.026649308453003565
Epoch: 151, train ls: 0.007528191851451993, eval ls: 0.02671723465124766
Epoch: 152, train ls: 0.007647018445034822, eval ls: 0.026790139079093934
Epoch: 153, train ls: 0.007457092916592955, eval ls: 0.026699515432119368
Epoch: 154, train ls: 0.007519785221666098, eval ls: 0.026729341223835947
Epoch: 155, train ls: 0.007494911722217997, eval ls: 0.02661341366668542
Epoch: 156, train ls: 0.00717539891290168, eval ls: 0.02664527085920175
Epoch: 157, train ls: 0.007245814629519979, eval ls: 0.0266325111190478
Epoch: 158, train ls: 0.007194777795424064, eval ls: 0.026849414904912314
Epoch: 159, train ls: 0.007525522510210673, eval ls: 0.026861884569128355
Epoch: 160, train ls: 0.007407116253549854, eval ls: 0.02678852789103985
Epoch: 161, train ls: 0.0069605389920373755, eval ls: 0.026845189183950423
Epoch: 162, train ls: 0.006966979273905357, eval ls: 0.026906988769769668
Epoch: 163, train ls: 0.006837303005158901, eval ls: 0.026808102801442146
Epoch: 164, train ls: 0.007139575155451894, eval ls: 0.026790543769796688
Epoch: 165, train ls: 0.007097372304027279, eval ls: 0.02682600592573484
Epoch: 166, train ls: 0.006874296177799503, eval ls: 0.026844060917695364
Epoch: 167, train ls: 0.006894676045825084, eval ls: 0.026831366866827012
Epoch: 168, train ls: 0.006719615294908484, eval ls: 0.026817657550175986
Epoch: 169, train ls: 0.006976128586878379, eval ls: 0.026874035596847534
Epoch: 170, train ls: 0.00702025320691367, eval ls: 0.0269207747032245
Epoch: 171, train ls: 0.006611893853793542, eval ls: 0.026738878960410755
Epoch: 172, train ls: 0.006700039266919097, eval ls: 0.026941213756799698
Epoch: 173, train ls: 0.0067120907362550495, eval ls: 0.02681894724567731
Epoch: 174, train ls: 0.006980684725567699, eval ls: 0.026930318772792818
Epoch: 175, train ls: 0.007015734491869807, eval ls: 0.026874317228794097
Epoch: 176, train ls: 0.006683955186357101, eval ls: 0.026952967171867688
Epoch: 177, train ls: 0.006486865490054091, eval ls: 0.02687949190537135
Epoch: 178, train ls: 0.006782135646790266, eval ls: 0.026933124537269273
