loss: -0.8163, minimizing loss: 44.6093, maximizing loss: 45.4257
loss: -0.1701, minimizing loss: 45.5408, maximizing loss: 45.7110
loss: -1.3939, minimizing loss: 45.8294, maximizing loss: 47.2233
loss: -0.9173, minimizing loss: 47.2911, maximizing loss: 48.2083
loss: -0.1717, minimizing loss: 49.3005, maximizing loss: 49.4723
loss: -0.1347, minimizing loss: 50.8210, maximizing loss: 50.9557
loss: 1.7196, minimizing loss: 53.2946, maximizing loss: 51.5750
loss: -0.6203, minimizing loss: 52.3597, maximizing loss: 52.9801
loss: -0.8590, minimizing loss: 52.4422, maximizing loss: 53.3012
loss: 1.9155, minimizing loss: 54.4664, maximizing loss: 52.5509
loss: -1.2290, minimizing loss: 52.9074, maximizing loss: 54.1364
loss: -0.6654, minimizing loss: 53.3691, maximizing loss: 54.0345
loss: -0.0160, minimizing loss: 54.0291, maximizing loss: 54.0451
loss: -0.9426, minimizing loss: 54.2129, maximizing loss: 55.1555
loss: -0.6815, minimizing loss: 55.0821, maximizing loss: 55.7636
loss: 0.0085, minimizing loss: 56.3130, maximizing loss: 56.3046
loss: -0.4909, minimizing loss: 57.2324, maximizing loss: 57.7233
loss: -0.6832, minimizing loss: 58.7331, maximizing loss: 59.4164
loss: -0.5194, minimizing loss: 60.3282, maximizing loss: 60.8476
loss: -0.3308, minimizing loss: 61.7876, maximizing loss: 62.1184
loss: -0.6826, minimizing loss: 63.0723, maximizing loss: 63.7549
loss: -0.6309, minimizing loss: 65.1714, maximizing loss: 65.8023
loss: -0.6393, minimizing loss: 68.0449, maximizing loss: 68.6843
loss: -0.1235, minimizing loss: 70.8809, maximizing loss: 71.0044
loss: -0.2919, minimizing loss: 71.5024, maximizing loss: 71.7944
loss: -0.8760, minimizing loss: 71.5067, maximizing loss: 72.3827
loss: -0.9789, minimizing loss: 72.4582, maximizing loss: 73.4371
loss: -0.6470, minimizing loss: 74.0378, maximizing loss: 74.6848
loss: -1.1037, minimizing loss: 76.0165, maximizing loss: 77.1202
loss: -1.8585, minimizing loss: 79.1271, maximizing loss: 80.9856
loss: 1.1785, minimizing loss: 84.5380, maximizing loss: 83.3595
loss: -3.6948, minimizing loss: 84.6998, maximizing loss: 88.3947
loss: -2.9235, minimizing loss: 89.4152, maximizing loss: 92.3387
loss: 0.7914, minimizing loss: 96.6637, maximizing loss: 95.8723
loss: 0.5910, minimizing loss: 101.8116, maximizing loss: 101.2206
loss: -3.9831, minimizing loss: 104.0863, maximizing loss: 108.0693
loss: 0.8941, minimizing loss: 111.8984, maximizing loss: 111.0043
loss: -4.0359, minimizing loss: 115.0917, maximizing loss: 119.1276
loss: 1.9425, minimizing loss: 124.6528, maximizing loss: 122.7103
loss: -1.6237, minimizing loss: 126.4571, maximizing loss: 128.0809
loss: -7.1713, minimizing loss: 128.9989, maximizing loss: 136.1703
loss: -3.5095, minimizing loss: 139.6457, maximizing loss: 143.1552
loss: -2.7335, minimizing loss: 150.3496, maximizing loss: 153.0830
loss: -2.6569, minimizing loss: 163.2832, maximizing loss: 165.9401
loss: -5.2891, minimizing loss: 177.2232, maximizing loss: 182.5123
loss: -12.9246, minimizing loss: 190.9867, maximizing loss: 203.9113
loss: 1.5496, minimizing loss: 222.5161, maximizing loss: 220.9665
loss: -8.0165, minimizing loss: 242.8844, maximizing loss: 250.9009
loss: 9.3898, minimizing loss: 279.8447, maximizing loss: 270.4550
loss: 8.9270, minimizing loss: 295.5795, maximizing loss: 286.6526
loss: -20.3794, minimizing loss: 289.3165, maximizing loss: 309.6959
loss: -11.8723, minimizing loss: 311.6440, maximizing loss: 323.5163
loss: 10.1620, minimizing loss: 349.7014, maximizing loss: 339.5394
loss: 6.1910, minimizing loss: 364.0662, maximizing loss: 357.8752
loss: 3.5825, minimizing loss: 371.3690, maximizing loss: 367.7866
loss: -0.8208, minimizing loss: 373.6597, maximizing loss: 374.4806
loss: -8.8106, minimizing loss: 374.0123, maximizing loss: 382.8230
loss: 26.6982, minimizing loss: 399.6501, maximizing loss: 372.9520
loss: -33.1145, minimizing loss: 363.7668, maximizing loss: 396.8813
loss: 15.1266, minimizing loss: 395.6194, maximizing loss: 380.4928
loss: -0.4113, minimizing loss: 389.2927, maximizing loss: 389.7039
loss: 44.2900, minimizing loss: 408.3794, maximizing loss: 364.0894
loss: -14.8709, minimizing loss: 362.7819, maximizing loss: 377.6528
loss: 2.6286, minimizing loss: 357.6574, maximizing loss: 355.0288
loss: -4.0240, minimizing loss: 344.6049, maximizing loss: 348.6288
loss: -28.9039, minimizing loss: 323.8931, maximizing loss: 352.7970
loss: -9.1857, minimizing loss: 337.2498, maximizing loss: 346.4356
loss: 18.9531, minimizing loss: 355.6064, maximizing loss: 336.6533
loss: -6.3925, minimizing loss: 343.2146, maximizing loss: 349.6071
loss: -2.7995, minimizing loss: 343.5332, maximizing loss: 346.3326
loss: 23.9936, minimizing loss: 357.7282, maximizing loss: 333.7346
loss: -6.3186, minimizing loss: 335.6534, maximizing loss: 341.9720
loss: -9.2174, minimizing loss: 330.6902, maximizing loss: 339.9076
loss: -12.2667, minimizing loss: 328.9092, maximizing loss: 341.1759
loss: -16.9025, minimizing loss: 328.1225, maximizing loss: 345.0250
loss: -5.1823, minimizing loss: 341.1902, maximizing loss: 346.3726
loss: -17.7273, minimizing loss: 341.8429, maximizing loss: 359.5702
loss: -12.7787, minimizing loss: 356.7022, maximizing loss: 369.4810
loss: -27.8008, minimizing loss: 367.9789, maximizing loss: 395.7797
loss: 10.5330, minimizing loss: 408.1139, maximizing loss: 397.5809
loss: 17.6236, minimizing loss: 430.3075, maximizing loss: 412.6839
loss: 27.4148, minimizing loss: 444.5362, maximizing loss: 417.1214
loss: 28.7709, minimizing loss: 444.4115, maximizing loss: 415.6406
loss: -4.2552, minimizing loss: 417.6254, maximizing loss: 421.8806
loss: -4.6398, minimizing loss: 411.1366, maximizing loss: 415.7763
loss: 17.5257, minimizing loss: 413.0928, maximizing loss: 395.5671
loss: -48.1476, minimizing loss: 371.7314, maximizing loss: 419.8791
loss: 3.6821, minimizing loss: 401.8024, maximizing loss: 398.1204
loss: -8.1253, minimizing loss: 397.8593, maximizing loss: 405.9846
loss: 31.6675, minimizing loss: 421.8448, maximizing loss: 390.1773
loss: -12.6011, minimizing loss: 393.0735, maximizing loss: 405.6747
loss: -27.1111, minimizing loss: 386.6465, maximizing loss: 413.7576
loss: -32.7341, minimizing loss: 389.6939, maximizing loss: 422.4280
loss: -14.3677, minimizing loss: 412.1559, maximizing loss: 426.5236
loss: -10.4601, minimizing loss: 431.3872, maximizing loss: 441.8473
loss: 5.2595, minimizing loss: 457.0954, maximizing loss: 451.8358
loss: -35.8332, minimizing loss: 452.7368, maximizing loss: 488.5700
loss: 17.8441, minimizing loss: 503.7097, maximizing loss: 485.8656
loss: -20.1103, minimizing loss: 504.4074, maximizing loss: 524.5176
loss: -6.5369, minimizing loss: 534.7195, maximizing loss: 541.2564
loss: -43.6765, minimizing loss: 539.5282, maximizing loss: 583.2047
loss: -4.9700, minimizing loss: 591.7173, maximizing loss: 596.6873
loss: 16.2716, minimizing loss: 638.4948, maximizing loss: 622.2232
loss: -25.5181, minimizing loss: 646.7051, maximizing loss: 672.2232
loss: -54.6732, minimizing loss: 666.6340, maximizing loss: 721.3072
loss: 4.6974, minimizing loss: 747.9181, maximizing loss: 743.2206
loss: -41.6163, minimizing loss: 777.6708, maximizing loss: 819.2870
loss: 54.9254, minimizing loss: 885.5201, maximizing loss: 830.5947
loss: -45.1172, minimizing loss: 872.7267, maximizing loss: 917.8439
loss: 2.7617, minimizing loss: 944.7844, maximizing loss: 942.0227
loss: 20.4341, minimizing loss: 997.2740, maximizing loss: 976.8399
loss: -4.9217, minimizing loss: 1016.5245, maximizing loss: 1021.4462
loss: 25.0225, minimizing loss: 1061.6393, maximizing loss: 1036.6168
loss: -63.7306, minimizing loss: 1035.6117, maximizing loss: 1099.3423
loss: -17.9908, minimizing loss: 1099.7675, maximizing loss: 1117.7583
loss: -26.5928, minimizing loss: 1144.4805, maximizing loss: 1171.0732
loss: 48.9406, minimizing loss: 1240.6941, maximizing loss: 1191.7535
loss: -28.3477, minimizing loss: 1229.8972, maximizing loss: 1258.2449
loss: 29.9434, minimizing loss: 1293.4580, maximizing loss: 1263.5146
loss: 93.8639, minimizing loss: 1348.2050, maximizing loss: 1254.3411
loss: -57.7874, minimizing loss: 1237.2214, maximizing loss: 1295.0088
loss: -110.3705, minimizing loss: 1219.4213, maximizing loss: 1329.7917
loss: 56.9503, minimizing loss: 1346.4452, maximizing loss: 1289.4949
loss: -83.6301, minimizing loss: 1295.7279, maximizing loss: 1379.3580
loss: 75.7455, minimizing loss: 1422.4851, maximizing loss: 1346.7396
loss: -6.8765, minimizing loss: 1394.7678, maximizing loss: 1401.6443
loss: 82.3768, minimizing loss: 1454.5283, maximizing loss: 1372.1515
loss: -22.2195, minimizing loss: 1379.5540, maximizing loss: 1401.7734
loss: 116.5809, minimizing loss: 1440.5149, maximizing loss: 1323.9340
loss: -4.4022, minimizing loss: 1322.5073, maximizing loss: 1326.9095
loss: 17.3326, minimizing loss: 1289.1598, maximizing loss: 1271.8271
loss: 71.6035, minimizing loss: 1270.1714, maximizing loss: 1198.5679
loss: -89.2480, minimizing loss: 1132.0248, maximizing loss: 1221.2728
loss: 63.3529, minimizing loss: 1180.7266, maximizing loss: 1117.3737
loss: -14.8594, minimizing loss: 1099.5844, maximizing loss: 1114.4437
loss: -37.1865, minimizing loss: 1060.3019, maximizing loss: 1097.4884
loss: -7.1718, minimizing loss: 1052.9023, maximizing loss: 1060.0741
loss: 25.5609, minimizing loss: 1055.2034, maximizing loss: 1029.6425
loss: 31.3906, minimizing loss: 1040.0642, maximizing loss: 1008.6736
loss: 15.1794, minimizing loss: 1004.3163, maximizing loss: 989.1369
loss: 23.3882, minimizing loss: 982.5452, maximizing loss: 959.1570
loss: -31.6436, minimizing loss: 927.1616, maximizing loss: 958.8051
loss: -8.8190, minimizing loss: 917.2784, maximizing loss: 926.0974
loss: -4.2704, minimizing loss: 907.5237, maximizing loss: 911.7942
loss: -12.0763, minimizing loss: 888.7972, maximizing loss: 900.8735
loss: 48.3370, minimizing loss: 911.2960, maximizing loss: 862.9590
loss: 73.1520, minimizing loss: 904.3715, maximizing loss: 831.2195
loss: 6.3052, minimizing loss: 838.8943, maximizing loss: 832.5891
loss: 8.3459, minimizing loss: 816.5422, maximizing loss: 808.1964
loss: -109.0254, minimizing loss: 735.0997, maximizing loss: 844.1251
loss: 20.9058, minimizing loss: 793.3074, maximizing loss: 772.4017
loss: -36.5334, minimizing loss: 758.6323, maximizing loss: 795.1657
loss: 15.3415, minimizing loss: 781.2086, maximizing loss: 765.8671
loss: 22.7448, minimizing loss: 783.3597, maximizing loss: 760.6149
loss: 42.7510, minimizing loss: 786.5085, maximizing loss: 743.7575
loss: -14.2147, minimizing loss: 746.1122, maximizing loss: 760.3269
loss: -17.9301, minimizing loss: 736.5531, maximizing loss: 754.4832
loss: -17.9459, minimizing loss: 728.8855, maximizing loss: 746.8314
loss: 55.5910, minimizing loss: 762.9391, maximizing loss: 707.3481
loss: -52.1299, minimizing loss: 702.3633, maximizing loss: 754.4933
loss: -58.6948, minimizing loss: 696.7812, maximizing loss: 755.4761
loss: -33.4451, minimizing loss: 714.5626, maximizing loss: 748.0078
loss: 45.0986, minimizing loss: 764.1969, maximizing loss: 719.0983
loss: 18.3425, minimizing loss: 756.3533, maximizing loss: 738.0108
loss: 19.0704, minimizing loss: 755.1422, maximizing loss: 736.0718
loss: 50.6075, minimizing loss: 766.8410, maximizing loss: 716.2335
loss: 81.4998, minimizing loss: 772.6777, maximizing loss: 691.1780
loss: -35.8710, minimizing loss: 695.7680, maximizing loss: 731.6390
loss: 17.7684, minimizing loss: 707.5013, maximizing loss: 689.7330
loss: 3.2712, minimizing loss: 685.5175, maximizing loss: 682.2463
loss: 35.4832, minimizing loss: 689.5762, maximizing loss: 654.0930
loss: -15.1959, minimizing loss: 652.5070, maximizing loss: 667.7029
loss: -50.3396, minimizing loss: 626.9364, maximizing loss: 677.2760
loss: -7.2850, minimizing loss: 644.2918, maximizing loss: 651.5768
loss: -1.5984, minimizing loss: 641.5765, maximizing loss: 643.1749
loss: -35.7471, minimizing loss: 620.7567, maximizing loss: 656.5038
loss: 18.7739, minimizing loss: 644.6133, maximizing loss: 625.8394
loss: -28.5281, minimizing loss: 621.5567, maximizing loss: 650.0848
loss: 8.4668, minimizing loss: 638.2960, maximizing loss: 629.8292
loss: -4.7661, minimizing loss: 632.9434, maximizing loss: 637.7095
loss: 50.8600, minimizing loss: 658.4730, maximizing loss: 607.6129
loss: 9.1849, minimizing loss: 634.2581, maximizing loss: 625.0731
loss: 9.9182, minimizing loss: 631.9081, maximizing loss: 621.9899
loss: -6.0984, minimizing loss: 618.1187, maximizing loss: 624.2170
loss: -19.4471, minimizing loss: 608.5704, maximizing loss: 628.0175
loss: -20.6858, minimizing loss: 606.1322, maximizing loss: 626.8180
loss: -42.5972, minimizing loss: 596.6646, maximizing loss: 639.2617
loss: 14.2539, minimizing loss: 625.8948, maximizing loss: 611.6409
loss: -4.3035, minimizing loss: 616.3633, maximizing loss: 620.6669
loss: -36.5654, minimizing loss: 602.4918, maximizing loss: 639.0571
loss: -14.8434, minimizing loss: 619.3310, maximizing loss: 634.1744
loss: 3.1163, minimizing loss: 631.6887, maximizing loss: 628.5724
loss: -19.6874, minimizing loss: 627.7748, maximizing loss: 647.4622
loss: 0.5379, minimizing loss: 644.7488, maximizing loss: 644.2109
loss: -22.5921, minimizing loss: 639.2740, maximizing loss: 661.8661
loss: -9.9846, minimizing loss: 655.0303, maximizing loss: 665.0149
loss: -15.0624, minimizing loss: 663.5474, maximizing loss: 678.6097
loss: -7.5992, minimizing loss: 679.4828, maximizing loss: 687.0820
loss: -17.7341, minimizing loss: 685.4006, maximizing loss: 703.1348
loss: -36.4902, minimizing loss: 690.1177, maximizing loss: 726.6079
loss: 18.7973, minimizing loss: 736.3204, maximizing loss: 717.5231
loss: -6.9709, minimizing loss: 737.4389, maximizing loss: 744.4098
loss: 20.5946, minimizing loss: 766.6718, maximizing loss: 746.0772
loss: -59.9292, minimizing loss: 736.7313, maximizing loss: 796.6605
loss: 35.8441, minimizing loss: 803.4833, maximizing loss: 767.6392
loss: 14.9298, minimizing loss: 801.3984, maximizing loss: 786.4686
loss: -85.7295, minimizing loss: 758.3810, maximizing loss: 844.1105
loss: 33.4991, minimizing loss: 839.3641, maximizing loss: 805.8651
loss: -14.6237, minimizing loss: 828.8900, maximizing loss: 843.5137
loss: -23.7814, minimizing loss: 842.1796, maximizing loss: 865.9609
loss: 1.1325, minimizing loss: 868.2468, maximizing loss: 867.1143
loss: -27.7792, minimizing loss: 872.0146, maximizing loss: 899.7938
loss: -16.8046, minimizing loss: 896.0021, maximizing loss: 912.8068
loss: 40.3365, minimizing loss: 945.4086, maximizing loss: 905.0720
loss: 5.4262, minimizing loss: 939.2751, maximizing loss: 933.8489
loss: 39.3229, minimizing loss: 966.6535, maximizing loss: 927.3306
loss: -29.3016, minimizing loss: 928.3550, maximizing loss: 957.6567
loss: 98.7029, minimizing loss: 997.1345, maximizing loss: 898.4316
loss: -8.1613, minimizing loss: 931.7429, maximizing loss: 939.9041
loss: 27.3294, minimizing loss: 933.5954, maximizing loss: 906.2660
loss: -120.4935, minimizing loss: 846.5179, maximizing loss: 967.0114
loss: 43.5092, minimizing loss: 932.0824, maximizing loss: 888.5732
loss: -35.2492, minimizing loss: 893.0497, maximizing loss: 928.2989
loss: -108.6295, minimizing loss: 862.8596, maximizing loss: 971.4891
loss: 18.3289, minimizing loss: 949.5765, maximizing loss: 931.2476
loss: 33.7771, minimizing loss: 976.2189, maximizing loss: 942.4418
loss: -39.4908, minimizing loss: 949.1319, maximizing loss: 988.6227
loss: -47.5815, minimizing loss: 964.9972, maximizing loss: 1012.5787
loss: 8.5841, minimizing loss: 1014.5734, maximizing loss: 1005.9893
loss: -79.3438, minimizing loss: 995.7689, maximizing loss: 1075.1127
loss: -4.0627, minimizing loss: 1066.2942, maximizing loss: 1070.3569
loss: -188.9005, minimizing loss: 1010.9383, maximizing loss: 1199.8387
loss: 7.8612, minimizing loss: 1174.0404, maximizing loss: 1166.1792
loss: 23.9747, minimizing loss: 1243.7987, maximizing loss: 1219.8240
loss: 13.1201, minimizing loss: 1294.8567, maximizing loss: 1281.7366
loss: -121.0112, minimizing loss: 1279.0215, maximizing loss: 1400.0327
loss: -24.5017, minimizing loss: 1394.5684, maximizing loss: 1419.0701
loss: -33.1549, minimizing loss: 1472.1959, maximizing loss: 1505.3508
loss: -43.0194, minimizing loss: 1541.0182, maximizing loss: 1584.0376
loss: -26.7162, minimizing loss: 1638.9590, maximizing loss: 1665.6752
loss: -195.4316, minimizing loss: 1642.9016, maximizing loss: 1838.3333
loss: 80.7791, minimizing loss: 1914.5813, maximizing loss: 1833.8022
loss: 105.7795, minimizing loss: 2033.7908, maximizing loss: 1928.0112
loss: 152.5094, minimizing loss: 2119.6350, maximizing loss: 1967.1256
loss: -77.5723, minimizing loss: 2018.3176, maximizing loss: 2095.8899
loss: -61.2490, minimizing loss: 2058.4971, maximizing loss: 2119.7461
loss: -23.7898, minimizing loss: 2125.6550, maximizing loss: 2149.4448
loss: 142.4438, minimizing loss: 2255.7314, maximizing loss: 2113.2876
loss: 40.8010, minimizing loss: 2203.7542, maximizing loss: 2162.9531
loss: 32.5447, minimizing loss: 2193.5283, maximizing loss: 2160.9836
loss: -152.4573, minimizing loss: 2081.6384, maximizing loss: 2234.0957
loss: -114.0442, minimizing loss: 2123.7791, maximizing loss: 2237.8232
loss: -159.1113, minimizing loss: 2159.3149, maximizing loss: 2318.4263
loss: -59.9148, minimizing loss: 2311.8594, maximizing loss: 2371.7742
loss: 199.3816, minimizing loss: 2546.4829, maximizing loss: 2347.1013
loss: 172.9236, minimizing loss: 2571.2722, maximizing loss: 2398.3486
loss: 47.5535, minimizing loss: 2494.8591, maximizing loss: 2447.3057
loss: -243.7878, minimizing loss: 2314.8511, maximizing loss: 2558.6389
loss: -236.2639, minimizing loss: 2359.3149, maximizing loss: 2595.5789
loss: -141.6113, minimizing loss: 2510.7930, maximizing loss: 2652.4043
loss: -156.1160, minimizing loss: 2647.1538, maximizing loss: 2803.2698
loss: -62.2231, minimizing loss: 2872.3506, maximizing loss: 2934.5737
loss: -35.7463, minimizing loss: 3066.3660, maximizing loss: 3102.1123
loss: 9.8738, minimizing loss: 3285.6846, maximizing loss: 3275.8108
loss: 139.6003, minimizing loss: 3527.0100, maximizing loss: 3387.4097
loss: -181.4636, minimizing loss: 3479.3108, maximizing loss: 3660.7744
loss: 352.1655, minimizing loss: 3910.8467, maximizing loss: 3558.6812
loss: 153.2581, minimizing loss: 3832.4817, maximizing loss: 3679.2236
loss: 255.2959, minimizing loss: 3847.5195, maximizing loss: 3592.2236
loss: -161.7151, minimizing loss: 3527.0459, maximizing loss: 3688.7610
loss: -232.9465, minimizing loss: 3434.7241, maximizing loss: 3667.6707
